ADCP_Location,Lsmaj,Lsmaj_ci,Lsmin,Lsmin_ci,bottomFriction,frq,g,g_ci,lat,lind,lon,name,reftime,theta,theta_ci,umean,vmean
DG5,0.02887571484460888,0.006622835042559608,-0.005834798384102682,0.01511185338511319,wesley,0.04178074622152403,294.26623508225526,15.108261139304712,44.6752,20.0,-65.7599,K1  ,734913.5,112.58938745019616,31.198145784409924,0.05802136823834065,0.11431318747718255
DG5,0.12941655293046056,0.008531068155180552,0.0005305023352471377,0.005379742972928714,wesley,0.07899924870149752,156.4503507971481,3.7806000539280493,44.6752,41.0,-65.7599,N2  ,734913.5,112.91940527277083,2.3795622182145575,0.05802136823834065,0.11431318747718255
DG5,0.8969369980997816,0.008467032357910888,0.0375527717971984,0.005545732458074162,wesley,0.0805114006705069,175.4408034128436,0.5431419616712398,44.6752,47.0,-65.7599,M2  ,734913.5,114.33042510673303,0.354881427372283,0.05802136823834065,0.11431318747718255
DG5,0.2480726714214086,0.01056307805442696,0.010528364255897926,0.014887026463519923,wesley,0.08333333333333333,190.92063111503072,2.429873746656681,44.6752,56.0,-65.7599,S2  ,734913.5,114.14874075434999,3.472246044581551,0.05802136823834065,0.11431318747718255
DG5,0.15759965538330534,0.010593466082875114,0.006204011426316075,0.016316400169723196,wesley,0.08356149244304806,274.2502965356054,3.8530196183921013,44.6752,58.0,-65.7599,K2  ,734913.5,111.7824358948188,5.960495506304247,0.05802136823834065,0.11431318747718255
GP3,0.002962733882545682,0.0044667020866584846,0.00019321451389946783,0.004567310883515907,wesley,0.037218502479765964,128.36504141636274,86.87492095962195,44.2606,10.0,-66.3421,Q1  ,735092.5,36.26478146727342,88.95018743230986,0.05675301479358235,0.022936901608353176
GP3,0.004288694033047751,0.004638628436637577,-0.0015068997624685663,0.004349339923988562,wesley,0.03873065444906231,79.49380113839594,74.07898364676208,44.2606,12.0,-66.3421,O1  ,735092.5,66.00891269561718,71.10790681800106,0.05675301479358235,0.022936901608353176
GP3,0.011489385577175779,0.004747125337173862,-0.004885725417897094,0.013098564079066025,wesley,0.04155258711179991,153.98254868888452,44.55075902299518,44.2606,18.0,-66.3421,P1  ,735092.5,93.5536036076376,80.63640125578834,0.05675301479358235,0.022936901608353176
GP3,0.025970384745029503,0.004907255311251049,-0.007440635231014929,0.013809871761464079,wesley,0.04178074622153343,85.23706609180127,15.149242638103917,44.2606,20.0,-66.3421,K1  ,735092.5,96.36278173268582,33.376722775459434,0.05675301479358235,0.022936901608353176
GP3,0.06527970715292238,0.008849714263048916,-0.018477893337752987,0.00413405349151539,wesley,0.07899924870129939,288.3340332845648,8.515978475430597,44.2606,41.0,-66.3421,N2  ,735092.5,99.93949473692068,4.6123902899203655,0.05675301479358235,0.022936901608353176
