ADCP_Location,Lsmaj,Lsmin,bottomFriction,frq,g,lat,lind,lon,name,reftime,theta,umean,vmean
GP3,0.010871094509925293,-0.001101427319844861,wesley,0.04155258711181626,74.0683072341858,44.2606,18.0,-66.3421,P1  ,734780.7638888889,104.24088806769544,0.1326756413265034,-0.15768833455216752
GP3,0.018641129221024802,-0.0011074984967662741,wesley,0.04178074622151706,90.44525677711623,44.2606,20.0,-66.3421,K1  ,734780.7638888889,110.54223806140644,0.1326756413265034,-0.15768833455216752
GP3,0.21711897290719723,0.0007159505575422831,wesley,0.07899924870164445,313.0399695370986,44.2606,41.0,-66.3421,N2  ,734780.7638888889,109.83524234220312,0.1326756413265034,-0.15768833455216752
GP3,1.2160116026521202,0.005223587795654905,wesley,0.08051140067044102,340.49306347553465,44.2606,47.0,-66.3421,M2  ,734780.7638888889,110.02913450053799,0.1326756413265034,-0.15768833455216752
GP3,0.2634654375951687,-2.757991067303678e-06,wesley,0.08333333333333333,323.19607848310625,44.2606,56.0,-66.3421,S2  ,734780.7638888889,110.56061587030723,0.1326756413265034,-0.15768833455216752
GP3,0.2545116027945207,0.002365227164215694,wesley,0.08356149244303412,144.10623217087115,44.2606,58.0,-66.3421,K2  ,734780.7638888889,110.53856709880408,0.1326756413265034,-0.15768833455216752
GP4,0.005295405546854351,-0.0001433328545673066,wesley,0.03721850248012738,335.1194176071186,44.2605,10.0,-66.3354,Q1  ,734780.7638888889,107.88619035068096,0.09127757721973033,0.1773383823672487
GP4,0.005844989162701512,-0.0011979719565796423,wesley,0.03873065444892396,63.05793083768432,44.2605,12.0,-66.3354,O1  ,734780.7638888889,115.71974632582487,0.09127757721973033,0.1773383823672487
GP4,0.014900096031995656,0.00026915437719368836,wesley,0.04155258711181626,82.2471345928471,44.2605,18.0,-66.3354,P1  ,734780.7638888889,112.83318920308196,0.09127757721973033,0.1773383823672487
GP4,0.02175813915849327,-0.0007895091683611886,wesley,0.04178074622151706,91.96078834022454,44.2605,20.0,-66.3354,K1  ,734780.7638888889,112.2033032757902,0.09127757721973033,0.1773383823672487
GP4,0.2740213108932934,6.922945335768871e-05,wesley,0.07899924870164445,309.93401683248646,44.2605,41.0,-66.3354,N2  ,734780.7638888889,107.71417772310994,0.09127757721973033,0.1773383823672487
GP4,1.5291463830745498,0.015022083108384154,wesley,0.08051140067044102,336.6683016566574,44.2605,47.0,-66.3354,M2  ,734780.7638888889,107.68704276808299,0.09127757721973033,0.1773383823672487
GP4,0.31870418340924034,0.008979628581633314,wesley,0.08333333333333333,317.5694412163909,44.2605,56.0,-66.3354,S2  ,734780.7638888889,109.14993422438927,0.09127757721973033,0.1773383823672487
GP4,0.32074797385294973,0.013674362397645246,wesley,0.08356149244303412,137.45263924526273,44.2605,58.0,-66.3354,K2  ,734780.7638888889,107.63185344468148,0.09127757721973033,0.1773383823672487
GP5,0.0019765542298307882,0.0008520473513144127,wesley,0.03721850248012738,319.30046233605447,44.2505,10.0,-66.3381,Q1  ,734780.7638888889,91.88759044172522,0.11653150301729494,-0.006746863302806259
GP5,0.0040011147528076,-0.0007154385938956398,wesley,0.03873065444892396,61.34569009588974,44.2505,12.0,-66.3381,O1  ,734780.7638888889,108.95706976310952,0.11653150301729494,-0.006746863302806259
GP5,0.007294762150017909,0.0015139275802314531,wesley,0.04155258711181626,89.26854787521006,44.2505,18.0,-66.3381,P1  ,734780.7638888889,104.97991201583608,0.11653150301729494,-0.006746863302806259
GP5,0.012668932750582883,0.0011569990687041818,wesley,0.04178074622151706,97.43517224433917,44.2505,20.0,-66.3381,K1  ,734780.7638888889,90.89437896924291,0.11653150301729494,-0.006746863302806259
GP5,0.14919142382247508,0.006796740092749304,wesley,0.07899924870164445,307.4528822305965,44.2505,41.0,-66.3381,N2  ,734780.7638888889,88.98963441212032,0.11653150301729494,-0.006746863302806259
GP5,0.8220462767584273,0.0476281022791033,wesley,0.08051140067044102,333.7472059463525,44.2505,47.0,-66.3381,M2  ,734780.7638888889,89.34992725576576,0.11653150301729494,-0.006746863302806259
GP5,0.16391906150779922,0.013176518577470986,wesley,0.08333333333333333,316.0309502085822,44.2505,56.0,-66.3381,S2  ,734780.7638888889,91.17162815233124,0.11653150301729494,-0.006746863302806259
GP5,0.16459023247075055,0.01684937292039561,wesley,0.08356149244303412,133.16263541030688,44.2505,58.0,-66.3381,K2  ,734780.7638888889,89.61052670908606,0.11653150301729494,-0.006746863302806259
PP1,0.005111828841893455,-0.00018654059507638683,wesley,0.03721850248012738,332.790191199635,44.4067,10.0,-66.2114,Q1  ,734780.7638888889,110.48692272653525,0.12248461709666991,0.09881347751560349
PP1,0.004913560807910852,-0.0011151164056617895,wesley,0.03873065444892396,38.307805316320724,44.4067,12.0,-66.2114,O1  ,734780.7638888889,119.18763979321645,0.12248461709666991,0.09881347751560349
PP1,0.018913141297115084,-3.879254492391779e-05,wesley,0.04155258711181626,73.95792079089654,44.4067,18.0,-66.2114,P1  ,734780.7638888889,101.57576016107626,0.12248461709666991,0.09881347751560349
PP1,0.025613753764322865,-0.0017108131422282694,wesley,0.04178074622151706,88.32484704578015,44.4067,20.0,-66.2114,K1  ,734780.7638888889,102.48168499933152,0.12248461709666991,0.09881347751560349
PP1,0.3532539230476529,-0.00420858514926048,wesley,0.07899924870164445,306.5860837466266,44.4067,41.0,-66.2114,N2  ,734780.7638888889,103.79640115245796,0.12248461709666991,0.09881347751560349
PP1,2.0352006474156368,-0.026949588864870755,wesley,0.08051140067044102,333.1408177909974,44.4067,47.0,-66.2114,M2  ,734780.7638888889,103.6595264224656,0.12248461709666991,0.09881347751560349
PP1,0.437683085138092,-0.00256825308617592,wesley,0.08333333333333333,309.6438816265749,44.4067,56.0,-66.2114,S2  ,734780.7638888889,103.12623902502521,0.12248461709666991,0.09881347751560349
PP1,0.46542709708991903,-0.007048696539956545,wesley,0.08356149244303412,132.36852844677824,44.4067,58.0,-66.2114,K2  ,734780.7638888889,103.01632774202415,0.12248461709666991,0.09881347751560349
PP2,0.008293095653927713,-0.0005041304211715046,wesley,0.03721850248012738,340.9626305341053,44.4016,10.0,-66.2102,Q1  ,734780.7638888889,104.45185415987356,0.011556386034572997,-0.2446621813535972
PP2,0.00880151987907575,-2.1737860065092034e-05,wesley,0.03873065444892396,50.88422890883028,44.4016,12.0,-66.2102,O1  ,734780.7638888889,102.2249227669933,0.011556386034572997,-0.2446621813535972
PP2,0.024196355089703407,0.0019331812134342988,wesley,0.04155258711181626,81.01554388177539,44.4016,18.0,-66.2102,P1  ,734780.7638888889,101.84800444876356,0.011556386034572997,-0.2446621813535972
PP2,0.03278585397352484,0.002067518827015542,wesley,0.04178074622151706,93.10048755498373,44.4016,20.0,-66.2102,K1  ,734780.7638888889,101.73005809013605,0.011556386034572997,-0.2446621813535972
PP2,0.4381428199308507,0.002629357184638942,wesley,0.07899924870164445,306.94067380144537,44.4016,41.0,-66.2102,N2  ,734780.7638888889,102.04468746420426,0.011556386034572997,-0.2446621813535972
PP2,2.517428242017493,0.014892780141837703,wesley,0.08051140067044102,333.5572288558832,44.4016,47.0,-66.2102,M2  ,734780.7638888889,101.93195489994854,0.011556386034572997,-0.2446621813535972
PP2,0.5416116071357312,0.00487714760793323,wesley,0.08333333333333333,311.2684519187346,44.4016,56.0,-66.2102,S2  ,734780.7638888889,102.03944699751206,0.011556386034572997,-0.2446621813535972
PP2,0.5683289784587713,0.005664454561978338,wesley,0.08356149244303412,133.62189939092434,44.4016,58.0,-66.2102,K2  ,734780.7638888889,101.83682635645799,0.011556386034572997,-0.2446621813535972
PP3,0.0057502131765708765,-0.0004508535495907954,wesley,0.03721850248012738,355.182596991759,44.3843,10.0,-66.2087,Q1  ,734780.7638888889,86.94234822523174,0.014134602708065592,-0.21858403186778638
PP3,0.00879799760734033,-0.000589062485225179,wesley,0.03873065444892396,55.11173297193601,44.3843,12.0,-66.2087,O1  ,734780.7638888889,96.22254917348113,0.014134602708065592,-0.21858403186778638
PP3,0.01953774616388591,0.0006937281384700213,wesley,0.04155258711181626,76.40730433721968,44.3843,18.0,-66.2087,P1  ,734780.7638888889,81.89605072000629,0.014134602708065592,-0.21858403186778638
PP3,0.029256048362355895,0.0005167485097227528,wesley,0.04178074622151706,88.12092511035638,44.3843,20.0,-66.2087,K1  ,734780.7638888889,84.90307049538893,0.014134602708065592,-0.21858403186778638
